x,eta,u,v,pressure
-0.11681,0.04821,2.44240,0.03839,0.0003592
-0.10451,0.05119,2.46446,0.05547,0.0003455
-0.09222,0.05222,2.46457,0.05586,0.0003361
-0.07992,0.05343,2.47603,0.06322,0.0003233
-0.06763,0.05535,2.47668,0.06350,0.0003082
-0.05533,0.05591,2.49634,0.08497,0.0002830
-0.04304,0.05727,2.49631,0.08517,0.0002675
-0.03074,0.05761,2.51331,0.09618,0.0002527
-0.01844,0.05812,2.51423,0.09674,0.0002383
-0.00615,0.05846,2.53574,0.11305,0.0002239
0.00615,0.05842,2.53624,0.11362,0.0002092
0.01844,0.05831,2.55126,0.12026,0.0001995
0.03074,0.05768,2.55255,0.12104,0.0001782
0.04304,0.05736,2.55953,0.13555,0.0001627
0.05533,0.05614,2.56019,0.13578,0.0001462
0.06763,0.05512,2.57261,0.14085,0.0001321
0.07992,0.05451,2.57258,0.14110,0.0001082
0.09222,0.05241,2.58363,0.14680,0.0000912
0.10451,0.05078,2.58397,0.14669,0.0000693
0.11681,0.05050,2.59210,0.15151,0.0000480
0.12911,0.04879,2.59212,0.15193,0.0000348
0.14140,0.04692,2.59872,0.15363,0.0000207
0.15370,0.04441,2.59850,0.15369,0.0000009
0.16599,0.04130,2.60529,0.15666,-0.0000208
0.17829,0.04019,2.60542,0.15707,-0.0000367
0.19059,0.03672,2.61255,0.15325,-0.0000599
0.20288,0.03434,2.61242,0.15323,-0.0000758
0.21518,0.03312,2.61831,0.15218,-0.0001053
0.22747,0.02971,2.61907,0.15210,-0.0001289
0.23977,0.02765,2.62026,0.14460,-0.0001482
0.25207,0.02599,2.62027,0.14438,-0.0001680
0.26436,0.02366,2.62303,0.14059,-0.0001887
0.27666,0.02025,2.62288,0.14067,-0.0002079
0.28895,0.01648,2.62862,0.13135,-0.0002372
0.30125,0.01518,2.62839,0.13128,-0.0002516
0.31354,0.01258,2.62994,0.12509,-0.0002733
0.32584,0.00871,2.63036,0.12527,-0.0002927
0.33814,0.00615,2.62658,0.11152,-0.0003152
0.35043,0.00489,2.62672,0.11137,-0.0003304
0.36273,0.00252,2.62554,0.10200,-0.0003479
0.37502,0.00041,2.62548,0.10187,-0.0003651
0.38732,-0.00222,2.62795,0.08326,-0.0003811
0.39962,-0.00633,2.62756,0.08301,-0.0003982
0.41191,-0.00741,2.62616,0.06918,-0.0004126
0.42421,-0.01075,2.62587,0.06890,-0.0004275
0.43650,-0.01298,2.62522,0.04637,-0.0004402
0.44880,-0.01407,2.62479,0.04568,-0.0004515
0.46109,-0.01726,2.62683,0.02693,-0.0004610
0.47339,-0.01830,2.62626,0.02666,-0.0004652
0.48569,-0.02015,2.63151,0.00182,-0.0004703
0.49798,-0.02199,2.63193,0.00065,-0.0004707
0.51028,-0.02368,2.63502,-0.01689,-0.0004722
0.52257,-0.02730,2.63528,-0.01736,-0.0004667
0.53487,-0.02892,2.63532,-0.03735,-0.0004608
0.54717,-0.03010,2.63557,-0.03807,-0.0004535
0.55946,-0.03182,2.63725,-0.04705,-0.0004417
0.57176,-0.03327,2.63715,-0.04714,-0.0004320
0.58405,-0.03398,2.64069,-0.05700,-0.0004200
0.59635,-0.03602,2.64065,-0.05720,-0.0004056
0.60865,-0.03665,2.63929,-0.05771,-0.0003902
0.62094,-0.03787,2.63952,-0.05757,-0.0003727
0.63324,-0.03955,2.63349,-0.05960,-0.0003535
0.64553,-0.04006,2.63358,-0.05945,-0.0003334
0.65783,-0.04129,2.63291,-0.05689,-0.0003126
0.67012,-0.04208,2.63252,-0.05628,-0.0002925
0.68242,-0.04285,2.63479,-0.05915,-0.0002710
0.69472,-0.04381,2.63467,-0.05881,-0.0002535
0.70701,-0.04408,2.62996,-0.05757,-0.0002324
0.71931,-0.04456,2.62966,-0.05713,-0.0002131
0.73160,-0.04541,2.62739,-0.06111,-0.0001938
0.74390,-0.04573,2.62661,-0.06115,-0.0001738
0.75620,-0.04599,2.62153,-0.06085,-0.0001556
0.76849,-0.04603,2.62038,-0.06045,-0.0001373
0.78079,-0.04617,2.61654,-0.07057,-0.0001204
0.79308,-0.04622,2.61532,-0.07047,-0.0001024
0.80538,-0.04614,2.60382,-0.07519,-0.0000856
0.81767,-0.04611,2.59824,-0.07560,-0.0000670
0.82997,-0.04592,2.60115,-0.09131,-0.0000502
0.84227,-0.04565,2.59970,-0.09148,-0.0000317
0.85456,-0.04532,2.59034,-0.09918,-0.0000145
0.86686,-0.04445,2.58788,-0.09941,0.0000035
0.87915,-0.04397,2.59150,-0.11435,0.0000201
0.89145,-0.04330,2.58989,-0.11480,0.0000382
0.90375,-0.04263,2.58630,-0.12273,0.0000552
0.91604,-0.04207,2.58626,-0.12313,0.0000775
0.92834,-0.04092,2.58606,-0.13506,0.0000995
0.94063,-0.04048,2.58540,-0.13562,0.0001217
0.95293,-0.03953,2.58570,-0.14133,0.0001437
0.96523,-0.03787,2.58553,-0.14164,0.0001666
0.97752,-0.03728,2.58541,-0.15025,0.0001894
0.98982,-0.03541,2.58561,-0.15051,0.0002127
1.00211,-0.03471,2.58989,-0.15686,0.0002328
1.01441,-0.03328,2.59048,-0.15698,0.0002628
1.02670,-0.03094,2.59763,-0.16401,0.0002842
1.03900,-0.03000,2.59809,-0.16417,0.0003083
1.05130,-0.02855,2.60203,-0.16522,0.0003304
1.06359,-0.02544,2.60296,-0.16549,0.0003524
1.07589,-0.02390,2.60964,-0.16963,0.0003771
1.08818,-0.02250,2.61020,-0.16993,0.0004048
1.10048,-0.02024,2.61210,-0.16999,0.0004278
1.11278,-0.01918,2.61305,-0.17034,0.0004553
1.12507,-0.01626,2.61734,-0.16664,0.0004814
1.13737,-0.01519,2.61822,-0.16681,0.0005100
1.14966,-0.01303,2.62010,-0.16385,0.0005369
1.16196,-0.00965,2.62084,-0.16391,0.0005649
1.17425,-0.00739,2.63091,-0.15637,0.0005918
1.18655,-0.00635,2.63138,-0.15682,0.0006116
1.19885,-0.00220,2.62892,-0.15393,0.0006283
1.21114,-0.00031,2.62843,-0.15403,0.0006510
1.22344,0.00251,2.62984,-0.14082,0.0006709
1.23573,0.00498,2.62925,-0.14087,0.0006893
1.24803,0.00626,2.62661,-0.13486,0.0007063
1.26033,0.01017,2.62546,-0.13522,0.0007233
1.27262,0.01147,2.63452,-0.11917,0.0007385
1.28492,0.01411,2.63403,-0.11916,0.0007563
1.29721,0.01770,2.62821,-0.11166,0.0007653
1.30951,0.01915,2.62757,-0.11140,0.0007592
1.32181,0.02374,2.63020,-0.09405,0.0007523
1.33410,0.02599,2.62993,-0.09373,0.0007548
1.34640,0.02733,2.62462,-0.08585,0.0007551
1.35869,0.03111,2.62419,-0.08554,0.0007513
1.37099,0.03364,2.64032,-0.07078,0.0007501
1.38328,0.03488,2.64085,-0.07045,0.0007474
1.39558,0.03848,2.63527,-0.06526,0.0007491
1.40788,0.03966,2.63568,-0.06452,0.0007442
1.42017,0.04185,2.64615,-0.04469,0.0007327
1.43247,0.04423,2.64696,-0.04450,0.0007149
1.44476,0.04645,2.65421,-0.03048,0.0007004
1.45706,0.04916,2.65446,-0.03041,0.0006889
1.46936,0.05044,2.69246,-0.00187,0.0006743
1.48165,0.05196,2.69354,-0.00187,0.0006630
1.49395,0.05387,2.70878,0.01241,0.0006484
1.50624,0.05512,2.70971,0.01298,0.0006252
1.51854,0.05568,2.74143,0.05202,0.0006027
1.53083,0.05707,2.74228,0.05177,0.0005803
1.54313,0.05743,2.76875,0.07326,0.0005612
1.55543,0.05817,2.77023,0.07298,0.0005425
1.56772,0.05838,2.80738,0.10131,0.0005241
1.58002,0.05841,2.80835,0.10074,0.0005121
1.59231,0.05816,2.82559,0.11194,0.0004864
1.60461,0.05797,2.82598,0.11140,0.0004675
1.61691,0.05743,2.85286,0.13556,0.0004493
1.62920,0.05626,2.85322,0.13551,0.0004309
1.64150,0.05576,2.86966,0.14460,0.0004106
1.65379,0.05467,2.86914,0.14411,0.0003908
1.66609,0.05259,2.88805,0.15785,0.0003714
1.67839,0.05115,2.88811,0.15775,0.0003476
1.69068,0.04912,2.89810,0.16247,0.0003263
1.70298,0.04900,2.89758,0.16197,0.0003128
1.71527,0.04713,2.91409,0.17011,0.0002990
1.72757,0.04341,2.91420,0.16987,0.0002763
1.73986,0.04246,2.92376,0.17133,0.0002568
1.75216,0.04042,2.92450,0.17055,0.0002425
1.76446,0.03693,2.93625,0.17624,0.0002262
1.77675,0.03573,2.93662,0.17625,0.0002004
1.78905,0.03205,2.94555,0.17854,0.0001759
1.80134,0.03079,2.94669,0.17859,0.0001547
1.81364,0.02800,2.95266,0.17843,0.0001317
1.82594,0.02462,2.95247,0.17830,0.0001126
1.83823,0.02373,2.95473,0.17709,0.0000907
1.85053,0.02025,2.95484,0.17689,0.0000672
1.86282,0.01653,2.96200,0.17296,0.0000309
1.87512,0.01522,2.96221,0.17291,0.0000100
1.88741,0.01261,2.96025,0.16605,-0.0000139
1.89971,0.00873,2.95791,0.16545,-0.0000386
1.91201,0.00744,2.94867,0.15392,-0.0000661
1.92430,0.00434,2.94820,0.15357,-0.0000915
1.93660,0.00137,2.94034,0.14409,-0.0001159
1.94889,0.00033,2.93824,0.14352,-0.0001388
1.96119,-0.00233,2.93540,0.12855,-0.0001626
1.97349,-0.00556,2.93528,0.12843,-0.0001912
1.98578,-0.00738,2.93025,0.11667,-0.0002158
1.99808,-0.01077,2.92896,0.11645,-0.0002380
2.01037,-0.01190,2.90825,0.09662,-0.0002586
2.02267,-0.01517,2.90843,0.09673,-0.0002785
2.03497,-0.01729,2.89714,0.08456,-0.0002966
2.04726,-0.01832,2.89633,0.08435,-0.0003102
2.05956,-0.02122,2.88863,0.06400,-0.0003246
2.07185,-0.02312,2.88879,0.06400,-0.0003337
2.08415,-0.02378,2.87993,0.05100,-0.0003501
